Name,BQ24004,,,,
Reference,U,,,,
Footprint,Package_SO:HTSSOP-20-1EP_4.4x6.5mm_P0.65mm_EP3.4x6.5mm_Mask2.4x3.7mm,,,,
Footprint Filter,HTSSOP*1EP*4.4x6.5mm*P0.65mm*,,,,
Description,"2-Cell Li-Ion Charge Management IC, HTSSOP-20",,,,
Keywords,2-Cell Li-Ion Charge,,,,
Datasheet,http://www.ti.com/lit/ds/symlink/bq24006.pdf,,,,
,,,,,
Pin,Name,Type,Side,Debug1,Debug2
4,VCC,power_in,top,0 mils,-700 mils
18,OUT,output,right,500 mils,-500 mils
19,OUT,output,right,500 mils,-500 mils
,,space,right,-,-
17,VSENSE,input,right,500 mils,-300 mils
,,space,right,-,-
14,STAT1,output,right,500 mils,-100 mils
1,N/C,no_connect,right,400 mils,100 mils
6,N/C,no_connect,right,400 mils,200 mils
11,N/C,no_connect,right,400 mils,300 mils
15,N/C,no_connect,right,400 mils,0 mils
20,N/C,no_connect,right,400 mils,400 mils
2,IN,input,left,-500 mils,-500 mils
3,IN,input,left,-500 mils,-500 mils
,,space,left,-,-
5,ISNS,input,left,-500 mils,-300 mils
,,space,left,-,-
8,EN,input,left,-500 mils,-100 mils
,,space,left,-,-
7,APG/THERM,input,left,-500 mils,100 mils
9,VSEL,input,left,-500 mils,200 mils
12,CR,input,left,-500 mils,300 mils
13,TMR_SEL,input,left,-500 mils,400 mils
,,space,bottom,-,-
,,space,bottom,-,-
10,GND,power_in,bottom,0 mils,700 mils
21,GND,power_in,bottom,0 mils,700 mils
,,space,bottom,-,-
16,AGND,power_in,bottom,200 mils,700 mils
